id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
5046,Female,22,1,8.0,0,< 1 Year,Yes,39632.0,152.0,265,0
5122,Female,51,1,28.0,0,1-2 Year,Yes,34312.0,26.0,293,1
5140,Female,32,1,36.0,0,< 1 Year,Yes,43247.0,26.0,225,0
5157,Female,20,1,35.0,1,< 1 Year,No,30492.0,160.0,294,0
5240,Male,48,1,14.0,0,1-2 Year,Yes,37018.0,157.0,74,1
5258,Female,79,1,8.0,0,1-2 Year,No,42656.0,7.0,140,0
5329,Male,55,1,28.0,1,1-2 Year,No,24317.0,26.0,139,0
5397,Female,22,1,47.0,0,< 1 Year,Yes,28013.0,152.0,225,0
5575,Male,33,1,28.0,1,< 1 Year,No,37736.0,152.0,50,0
5714,Female,64,1,18.0,0,1-2 Year,Yes,25709.0,124.0,255,0
5724,Male,39,1,29.0,0,1-2 Year,Yes,2630.0,156.0,128,0
5849,Male,24,1,47.0,0,< 1 Year,Yes,31630.0,152.0,80,0
5948,Female,61,1,28.0,0,1-2 Year,Yes,36920.0,13.0,143,0
5988,Male,61,1,39.0,0,1-2 Year,Yes,2630.0,156.0,72,1
6047,Male,63,1,41.0,1,1-2 Year,No,46949.0,136.0,139,0
6064,Male,28,1,11.0,0,< 1 Year,Yes,2630.0,156.0,126,1
6082,Male,32,1,23.0,0,< 1 Year,Yes,33302.0,124.0,215,0
6355,Male,59,1,39.0,0,1-2 Year,No,2630.0,30.0,248,0
6415,Male,27,1,8.0,1,< 1 Year,No,35391.0,152.0,286,0
6434,Male,27,1,8.0,0,< 1 Year,No,29377.0,152.0,195,0
6503,Male,37,1,28.0,1,1-2 Year,No,45395.0,122.0,43,0
6528,Male,56,1,44.0,0,1-2 Year,Yes,39159.0,154.0,69,1
6612,Male,41,1,8.0,0,1-2 Year,Yes,40147.0,163.0,39,0
6680,Male,42,1,12.0,0,1-2 Year,Yes,2630.0,124.0,165,0
6681,Female,24,1,46.0,1,< 1 Year,No,25888.0,152.0,271,0
6790,Male,76,1,28.0,1,1-2 Year,No,52267.0,30.0,232,0
6875,Female,55,1,28.0,0,> 2 Years,Yes,38657.0,26.0,70,0
7020,Female,41,1,0.0,0,1-2 Year,Yes,2630.0,122.0,109,0
7219,Male,24,1,8.0,1,< 1 Year,No,44448.0,152.0,102,0
7340,Male,27,1,13.0,1,< 1 Year,No,37713.0,152.0,19,0
7511,Female,75,1,28.0,1,1-2 Year,No,37056.0,26.0,263,0
7530,Male,42,1,28.0,1,1-2 Year,No,2630.0,124.0,114,0
7595,Male,32,1,41.0,0,1-2 Year,Yes,36131.0,26.0,121,1
7795,Male,31,1,50.0,0,1-2 Year,Yes,2630.0,156.0,238,1
7810,Female,26,1,28.0,0,1-2 Year,No,2630.0,158.0,149,0
7875,Female,52,1,50.0,1,1-2 Year,No,32545.0,152.0,198,0
8116,Male,60,1,3.0,0,1-2 Year,Yes,24690.0,124.0,237,0
8270,Male,50,1,11.0,0,1-2 Year,Yes,25622.0,26.0,156,0
8329,Male,43,1,28.0,0,1-2 Year,Yes,29456.0,26.0,87,0
8335,Male,30,1,15.0,0,< 1 Year,Yes,30961.0,152.0,36,0
8394,Male,41,1,28.0,0,1-2 Year,Yes,46500.0,44.0,197,0
8436,Male,76,1,9.0,0,1-2 Year,Yes,2630.0,156.0,163,0
8553,Male,24,1,28.0,1,< 1 Year,No,50391.0,152.0,255,0
8644,Female,26,1,41.0,1,< 1 Year,No,40571.0,152.0,224,0
8777,Male,50,1,29.0,1,1-2 Year,No,39259.0,7.0,147,0
8797,Female,21,1,37.0,0,< 1 Year,Yes,2630.0,160.0,10,0
8810,Female,28,1,30.0,1,< 1 Year,No,36744.0,152.0,12,0
8853,Female,25,1,30.0,1,< 1 Year,Yes,25812.0,152.0,175,0
8857,Female,26,1,11.0,1,< 1 Year,No,39254.0,152.0,200,0
8981,Male,55,1,47.0,0,1-2 Year,Yes,35670.0,124.0,60,1
8988,Female,34,1,15.0,0,1-2 Year,Yes,2630.0,163.0,117,0
9080,Male,22,1,30.0,1,< 1 Year,No,18011.0,152.0,95,0
9246,Male,46,1,48.0,0,1-2 Year,Yes,2630.0,124.0,230,0
9361,Female,43,1,28.0,1,1-2 Year,No,68864.0,124.0,261,0
9416,Female,33,1,28.0,0,1-2 Year,No,2630.0,150.0,117,0
9446,Male,45,1,47.0,1,1-2 Year,No,2630.0,26.0,154,0
9537,Female,51,1,17.0,0,> 2 Years,Yes,68649.0,124.0,132,0
9640,Female,21,1,15.0,1,< 1 Year,No,37860.0,160.0,256,0
9739,Male,69,1,28.0,0,1-2 Year,Yes,48440.0,163.0,143,0
9916,Female,23,1,41.0,1,< 1 Year,No,31006.0,152.0,164,0
9995,Female,35,1,28.0,0,1-2 Year,Yes,34853.0,154.0,21,0
10050,Male,25,1,41.0,0,< 1 Year,Yes,35898.0,154.0,297,0
10060,Male,25,1,50.0,1,< 1 Year,No,101048.0,152.0,255,0
10098,Female,71,1,28.0,1,1-2 Year,No,35360.0,26.0,147,0
10144,Female,54,1,28.0,0,1-2 Year,Yes,70729.0,122.0,243,0
10210,Female,25,1,14.0,1,< 1 Year,No,35140.0,152.0,150,0
10322,Male,67,1,28.0,0,1-2 Year,Yes,48482.0,26.0,39,0
10522,Male,76,1,28.0,0,1-2 Year,Yes,49465.0,26.0,100,0
10586,Male,39,1,10.0,1,1-2 Year,No,2630.0,152.0,57,0
10763,Male,28,1,29.0,0,< 1 Year,Yes,23801.0,152.0,19,1
10777,Male,28,1,48.0,0,1-2 Year,Yes,2630.0,163.0,109,0
10788,Male,38,1,29.0,0,1-2 Year,Yes,25901.0,154.0,116,1
10817,Female,43,1,28.0,0,1-2 Year,Yes,33020.0,54.0,160,0
10908,Male,23,1,11.0,1,< 1 Year,No,22836.0,152.0,228,0
10988,Female,46,1,48.0,0,1-2 Year,Yes,2630.0,103.0,88,0
11040,Female,23,1,35.0,1,< 1 Year,No,24767.0,152.0,298,0
11084,Male,23,1,41.0,1,< 1 Year,No,33155.0,152.0,176,0
11153,Female,29,1,28.0,1,< 1 Year,No,44696.0,152.0,98,0
11154,Male,45,1,2.0,0,1-2 Year,Yes,23766.0,124.0,262,0
11189,Female,32,1,10.0,1,< 1 Year,No,18396.0,152.0,82,0
11224,Male,23,1,8.0,1,< 1 Year,No,38755.0,152.0,52,0
11511,Female,77,1,8.0,1,1-2 Year,No,43837.0,7.0,170,0
11585,Female,25,1,8.0,1,< 1 Year,No,34110.0,152.0,51,0
11615,Female,77,1,37.0,1,1-2 Year,No,28050.0,124.0,92,0
11733,Male,24,1,17.0,1,< 1 Year,No,36693.0,152.0,64,0
11840,Male,70,1,11.0,1,1-2 Year,No,28962.0,26.0,100,0
11897,Male,41,1,4.0,1,1-2 Year,Yes,2630.0,156.0,126,0
11904,Female,48,1,28.0,0,1-2 Year,Yes,90526.0,124.0,69,1
11922,Male,25,1,46.0,0,< 1 Year,Yes,24578.0,26.0,213,0
11937,Male,40,1,0.0,0,1-2 Year,No,2630.0,122.0,204,0
12057,Female,23,1,11.0,1,< 1 Year,No,27280.0,152.0,123,0
12233,Male,57,1,28.0,0,1-2 Year,Yes,45154.0,124.0,180,0
12431,Male,44,1,29.0,0,1-2 Year,Yes,56389.0,26.0,247,0
12458,Female,42,1,46.0,0,1-2 Year,Yes,19203.0,154.0,190,1
12488,Female,38,1,9.0,0,1-2 Year,Yes,30627.0,124.0,97,0
12602,Male,41,1,35.0,0,1-2 Year,Yes,35128.0,124.0,147,1
12688,Female,32,1,15.0,1,< 1 Year,No,2630.0,160.0,30,0
12835,Male,38,1,8.0,1,1-2 Year,No,36047.0,26.0,261,0
12937,Male,58,1,28.0,0,1-2 Year,Yes,60376.0,26.0,74,0
13323,Male,44,1,28.0,1,1-2 Year,No,2630.0,125.0,198,0
13343,Male,25,1,11.0,1,< 1 Year,No,34244.0,152.0,74,0
13370,Female,24,1,11.0,1,< 1 Year,No,31875.0,152.0,78,0
13467,Female,36,1,1.0,0,1-2 Year,Yes,2630.0,31.0,188,0
13527,Female,39,1,38.0,0,1-2 Year,Yes,34944.0,26.0,55,0
13582,Male,48,1,7.0,1,1-2 Year,No,2630.0,124.0,46,0
13613,Male,39,1,33.0,0,1-2 Year,Yes,2630.0,156.0,75,0
13924,Female,23,1,37.0,0,< 1 Year,No,2630.0,152.0,226,0
13992,Male,55,1,29.0,0,1-2 Year,Yes,32603.0,26.0,186,0
14009,Female,27,1,11.0,1,< 1 Year,No,18969.0,152.0,231,0
14057,Male,46,1,50.0,0,1-2 Year,Yes,30226.0,124.0,288,0
14135,Female,38,1,52.0,1,1-2 Year,No,2630.0,26.0,98,0
14159,Female,76,1,28.0,0,1-2 Year,Yes,21549.0,124.0,149,0
14271,Female,38,1,28.0,0,> 2 Years,Yes,95258.0,26.0,135,1
14422,Female,38,1,35.0,0,1-2 Year,No,20103.0,10.0,274,0
14508,Male,46,1,28.0,1,1-2 Year,No,37930.0,124.0,24,0
14522,Male,52,1,28.0,0,1-2 Year,Yes,33167.0,25.0,172,0
14565,Female,50,1,41.0,0,1-2 Year,No,2630.0,26.0,76,0
14641,Female,26,1,13.0,1,< 1 Year,No,33341.0,152.0,39,0
14707,Male,65,1,28.0,0,> 2 Years,Yes,36548.0,26.0,168,0
14715,Female,77,1,28.0,0,1-2 Year,Yes,44692.0,26.0,162,0
14855,Male,29,1,7.0,1,< 1 Year,No,48999.0,152.0,278,0
14923,Female,46,1,20.0,1,1-2 Year,No,2630.0,26.0,140,0
15018,Male,50,1,50.0,0,1-2 Year,Yes,55111.0,124.0,97,0
15054,Male,40,1,39.0,1,1-2 Year,No,33642.0,152.0,171,0
15181,Male,44,1,28.0,0,> 2 Years,Yes,37644.0,26.0,34,1
15183,Male,29,1,3.0,1,< 1 Year,No,51679.0,152.0,37,0
15269,Female,61,1,28.0,0,> 2 Years,Yes,27246.0,155.0,122,0
15313,Male,60,1,28.0,0,> 2 Years,Yes,38620.0,26.0,98,0
15518,Male,45,1,28.0,0,> 2 Years,Yes,36561.0,124.0,203,1
15521,Female,60,1,28.0,0,1-2 Year,Yes,37943.0,26.0,100,0
15655,Male,37,1,28.0,0,1-2 Year,Yes,36823.0,23.0,112,0
15696,Male,21,1,15.0,1,< 1 Year,No,2630.0,160.0,110,0
15698,Female,54,1,28.0,0,1-2 Year,Yes,44551.0,124.0,114,0
15825,Female,21,1,46.0,1,< 1 Year,No,23777.0,152.0,53,0
15991,Female,30,1,21.0,1,< 1 Year,No,32138.0,152.0,47,0
16091,Female,39,1,41.0,0,1-2 Year,Yes,30477.0,124.0,262,1
16356,Female,32,1,28.0,0,< 1 Year,Yes,41264.0,29.0,103,0
16362,Male,39,1,28.0,0,1-2 Year,Yes,45179.0,26.0,237,0
16398,Male,24,1,6.0,1,< 1 Year,No,2630.0,160.0,177,0
16439,Male,22,1,37.0,1,< 1 Year,No,41345.0,152.0,209,0
16566,Female,31,1,28.0,0,1-2 Year,Yes,33427.0,156.0,38,1
16645,Male,72,1,28.0,0,> 2 Years,Yes,30601.0,122.0,177,0
16693,Male,43,1,28.0,0,1-2 Year,No,31571.0,124.0,76,0
16750,Male,24,1,36.0,0,< 1 Year,Yes,30753.0,26.0,276,1
16769,Male,41,1,3.0,1,1-2 Year,No,2630.0,124.0,43,0
16856,Male,21,1,32.0,0,< 1 Year,Yes,34862.0,152.0,185,0
16870,Female,27,1,17.0,1,< 1 Year,No,24539.0,152.0,135,0
16964,Female,26,1,37.0,0,< 1 Year,Yes,32915.0,152.0,249,0
17024,Female,21,1,28.0,0,1-2 Year,Yes,45413.0,156.0,152,0
17154,Male,52,1,28.0,0,1-2 Year,Yes,50883.0,26.0,19,0
17163,Male,42,1,28.0,0,1-2 Year,Yes,43327.0,26.0,135,0
17179,Female,28,1,28.0,1,< 1 Year,No,45310.0,152.0,89,0
17233,Female,29,1,17.0,1,< 1 Year,No,41888.0,152.0,199,0
17241,Male,49,1,28.0,0,1-2 Year,Yes,37993.0,122.0,96,0
17250,Male,47,1,48.0,0,1-2 Year,Yes,2630.0,26.0,48,0
17467,Female,49,1,8.0,1,1-2 Year,No,32211.0,4.0,261,0
17523,Female,25,1,26.0,1,< 1 Year,No,41366.0,152.0,226,0
17561,Male,23,1,15.0,0,< 1 Year,Yes,38924.0,152.0,24,0
17648,Female,21,1,3.0,1,< 1 Year,No,27780.0,160.0,263,0
17806,Male,47,1,41.0,0,1-2 Year,Yes,30667.0,124.0,54,0
17826,Female,35,1,8.0,1,1-2 Year,No,34327.0,4.0,109,0
18168,Male,52,1,28.0,0,1-2 Year,Yes,28680.0,124.0,60,0
18180,Female,37,1,8.0,1,1-2 Year,No,30476.0,124.0,207,0
18244,Male,48,1,30.0,0,1-2 Year,Yes,20583.0,140.0,56,1
18245,Female,23,1,46.0,1,< 1 Year,No,22933.0,152.0,265,0
18317,Female,23,1,18.0,1,< 1 Year,No,28494.0,152.0,291,0
18392,Male,22,1,50.0,1,< 1 Year,No,28674.0,152.0,70,0
18411,Male,34,1,21.0,0,1-2 Year,Yes,2630.0,156.0,65,0
18432,Male,25,1,28.0,0,< 1 Year,Yes,57511.0,124.0,23,0
18456,Male,22,1,47.0,1,< 1 Year,No,40063.0,152.0,93,0
18484,Male,34,1,46.0,0,1-2 Year,Yes,25237.0,124.0,20,0
18572,Male,38,1,31.0,1,1-2 Year,No,2630.0,152.0,292,0
18602,Male,63,1,28.0,0,> 2 Years,Yes,36778.0,26.0,141,0
18660,Male,23,1,18.0,1,< 1 Year,No,32025.0,153.0,179,0
18789,Male,25,1,8.0,1,< 1 Year,No,39396.0,152.0,84,0
18954,Female,22,1,15.0,0,< 1 Year,Yes,25959.0,152.0,132,0
18974,Male,53,1,28.0,1,1-2 Year,No,42925.0,26.0,110,0
19028,Male,56,1,49.0,0,1-2 Year,Yes,29112.0,26.0,149,0
19114,Male,56,1,39.0,1,1-2 Year,No,2630.0,124.0,273,0
19127,Male,73,1,7.0,0,> 2 Years,Yes,2630.0,124.0,266,0
19146,Female,22,1,3.0,1,< 1 Year,No,35425.0,160.0,19,0
19176,Male,61,1,28.0,0,1-2 Year,Yes,29207.0,124.0,215,0
19182,Female,22,1,39.0,1,< 1 Year,No,2630.0,152.0,11,0
19250,Female,59,1,34.0,1,1-2 Year,No,41553.0,124.0,154,0
19278,Female,26,1,50.0,1,< 1 Year,No,30131.0,152.0,148,0
19421,Male,37,1,36.0,0,1-2 Year,No,40091.0,152.0,170,1
19452,Female,37,1,30.0,1,1-2 Year,No,23575.0,152.0,81,0
19648,Female,28,1,28.0,1,< 1 Year,No,41707.0,152.0,92,0
19695,Male,30,1,30.0,0,< 1 Year,Yes,2630.0,156.0,115,0
19720,Female,22,1,6.0,0,< 1 Year,Yes,25108.0,152.0,156,0
19837,Male,21,1,16.0,0,< 1 Year,Yes,25440.0,160.0,286,0
19992,Male,69,1,49.0,0,< 1 Year,No,2630.0,1.0,183,0
20027,Male,38,1,39.0,0,1-2 Year,Yes,2630.0,124.0,177,1
20169,Female,24,1,27.0,0,< 1 Year,No,20517.0,160.0,116,0
20194,Male,51,1,48.0,0,1-2 Year,Yes,2630.0,124.0,254,0
20237,Female,32,1,8.0,0,< 1 Year,No,2630.0,1.0,99,0
20330,Male,42,1,46.0,0,1-2 Year,Yes,23940.0,124.0,244,0
20417,Male,61,1,50.0,0,1-2 Year,Yes,50805.0,26.0,82,0
20540,Female,43,1,36.0,0,1-2 Year,Yes,36864.0,124.0,115,0
20600,Male,44,1,47.0,0,1-2 Year,No,25233.0,152.0,234,0
20653,Male,62,1,28.0,0,1-2 Year,Yes,41181.0,26.0,256,0
20740,Female,37,1,28.0,0,1-2 Year,No,28615.0,122.0,210,0
21041,Female,28,1,28.0,1,< 1 Year,No,71692.0,152.0,63,0
21070,Male,24,1,39.0,0,< 1 Year,Yes,2630.0,160.0,268,0
21085,Female,53,1,28.0,0,1-2 Year,Yes,44590.0,26.0,40,0
21101,Male,36,1,11.0,1,1-2 Year,No,28894.0,124.0,164,0
21245,Female,29,1,28.0,1,< 1 Year,No,42305.0,152.0,123,0
21445,Female,36,1,28.0,0,1-2 Year,Yes,37144.0,26.0,190,1
21533,Male,40,1,47.0,0,> 2 Years,Yes,2630.0,156.0,89,0
21540,Female,24,1,39.0,0,< 1 Year,No,29879.0,151.0,53,0
21648,Male,46,1,31.0,0,1-2 Year,Yes,2630.0,124.0,229,0
21933,Female,43,1,45.0,1,1-2 Year,No,17968.0,152.0,75,0
21944,Male,44,1,3.0,0,1-2 Year,No,27684.0,124.0,101,0
22198,Male,46,1,31.0,1,1-2 Year,No,2630.0,26.0,42,0
22214,Male,60,1,28.0,0,1-2 Year,Yes,33212.0,163.0,250,0
22338,Male,22,1,28.0,1,< 1 Year,No,35659.0,152.0,11,0
22396,Male,71,1,28.0,1,1-2 Year,No,59817.0,26.0,145,0
22499,Male,37,1,46.0,0,1-2 Year,Yes,30479.0,124.0,32,0
22610,Female,34,1,41.0,1,1-2 Year,Yes,44085.0,12.0,252,0
22628,Female,29,1,50.0,1,< 1 Year,No,28105.0,152.0,59,0
22643,Female,52,1,51.0,0,1-2 Year,Yes,36698.0,109.0,154,0
22730,Male,28,1,28.0,1,< 1 Year,No,42186.0,152.0,130,0
22815,Female,29,1,28.0,0,< 1 Year,Yes,2630.0,160.0,251,0
22922,Male,29,1,32.0,0,< 1 Year,Yes,2630.0,152.0,200,0
22941,Female,32,1,30.0,0,1-2 Year,Yes,2630.0,156.0,192,0
22986,Female,22,1,46.0,1,< 1 Year,No,27479.0,152.0,276,0
23053,Female,53,1,28.0,0,1-2 Year,Yes,59782.0,26.0,234,0
23063,Male,24,1,28.0,0,< 1 Year,Yes,44857.0,152.0,181,0
23088,Male,23,1,36.0,1,< 1 Year,No,29309.0,152.0,119,0
23094,Male,52,1,31.0,0,1-2 Year,Yes,2630.0,148.0,35,0
23107,Male,22,1,28.0,1,< 1 Year,No,38192.0,152.0,107,0
23123,Male,47,1,28.0,0,> 2 Years,Yes,29015.0,124.0,285,0
23150,Male,48,1,33.0,0,1-2 Year,Yes,32038.0,124.0,36,0
23152,Female,23,1,18.0,1,< 1 Year,No,29053.0,152.0,70,0
23188,Male,27,1,40.0,0,< 1 Year,Yes,27977.0,152.0,81,0
23421,Male,73,1,28.0,1,1-2 Year,No,58331.0,26.0,166,0
23428,Male,45,1,28.0,0,1-2 Year,Yes,45446.0,26.0,200,0
23524,Female,41,1,19.0,0,1-2 Year,No,28445.0,124.0,160,0
23576,Female,28,1,8.0,1,< 1 Year,No,33175.0,152.0,75,0
23661,Male,21,1,27.0,1,< 1 Year,Yes,2630.0,152.0,248,0
23845,Female,32,1,28.0,0,< 1 Year,Yes,26850.0,124.0,160,0
23897,Male,26,1,28.0,1,< 1 Year,No,49277.0,152.0,233,0
24019,Female,36,1,15.0,1,1-2 Year,No,27114.0,152.0,163,0
24130,Female,76,1,28.0,0,1-2 Year,Yes,30614.0,124.0,116,0
24344,Female,24,1,36.0,0,< 1 Year,Yes,30268.0,152.0,159,0
24457,Female,55,1,28.0,0,1-2 Year,Yes,40643.0,26.0,26,1
24614,Male,31,1,50.0,0,< 1 Year,No,30070.0,152.0,135,0
24676,Female,22,1,46.0,1,< 1 Year,No,21004.0,152.0,297,0
24976,Male,42,1,8.0,0,1-2 Year,Yes,58859.0,124.0,36,1
25063,Female,20,1,8.0,1,< 1 Year,No,36934.0,160.0,47,0
25199,Male,22,1,6.0,1,< 1 Year,No,27922.0,152.0,103,0
25214,Male,55,1,28.0,0,1-2 Year,Yes,43832.0,122.0,168,1
25260,Male,25,1,29.0,1,< 1 Year,No,23931.0,152.0,253,0
25290,Male,55,1,28.0,0,1-2 Year,Yes,55106.0,163.0,55,0
25344,Female,30,1,23.0,0,< 1 Year,Yes,22863.0,152.0,204,1
25393,Female,71,1,28.0,1,1-2 Year,No,42708.0,13.0,53,0
25428,Female,23,1,35.0,1,< 1 Year,No,25803.0,152.0,293,0
25718,Female,47,1,28.0,0,1-2 Year,Yes,62057.0,124.0,279,0
25761,Male,27,1,44.0,0,< 1 Year,Yes,2630.0,156.0,61,0
25782,Female,26,1,8.0,1,< 1 Year,No,28221.0,152.0,109,0
25988,Male,67,1,7.0,0,1-2 Year,Yes,49546.0,26.0,212,0
26220,Female,34,1,8.0,1,1-2 Year,No,27917.0,124.0,250,0
26222,Female,66,1,40.0,0,1-2 Year,No,2630.0,157.0,264,0
26267,Male,24,1,11.0,1,< 1 Year,No,18521.0,152.0,131,0
26429,Male,22,1,33.0,1,< 1 Year,No,2630.0,152.0,196,0
26524,Female,45,1,28.0,0,1-2 Year,Yes,32520.0,26.0,249,0
26728,Male,67,1,33.0,0,1-2 Year,Yes,36537.0,124.0,41,0
26808,Female,23,1,3.0,1,< 1 Year,No,22653.0,152.0,46,0
26823,Female,22,1,27.0,0,< 1 Year,Yes,30689.0,152.0,248,0
26941,Male,65,1,28.0,1,1-2 Year,No,31382.0,26.0,69,0
27332,Male,46,1,28.0,0,1-2 Year,Yes,38285.0,124.0,149,0
27369,Male,39,1,28.0,1,1-2 Year,No,35620.0,26.0,189,0
27444,Female,24,1,18.0,1,< 1 Year,No,31895.0,152.0,200,0
27476,Female,44,1,28.0,1,1-2 Year,No,38176.0,26.0,88,0
27513,Female,43,1,28.0,0,1-2 Year,Yes,37681.0,26.0,102,0
27523,Female,27,1,28.0,1,< 1 Year,No,29743.0,152.0,88,0
27749,Male,30,1,46.0,1,< 1 Year,No,26727.0,154.0,113,0
27753,Male,23,1,28.0,0,< 1 Year,Yes,41749.0,124.0,190,1
27808,Female,28,1,30.0,1,< 1 Year,No,33149.0,152.0,126,0
27826,Male,57,1,37.0,0,1-2 Year,Yes,28581.0,128.0,241,0
27831,Female,37,1,46.0,0,1-2 Year,Yes,2630.0,157.0,123,0
27837,Female,28,1,30.0,1,< 1 Year,No,34289.0,152.0,13,0
27892,Male,23,1,15.0,1,< 1 Year,No,68003.0,152.0,89,0
27922,Female,30,1,28.0,1,< 1 Year,No,58123.0,152.0,285,0
27938,Male,24,1,6.0,1,< 1 Year,No,31518.0,152.0,194,0
27958,Male,32,1,29.0,0,< 1 Year,Yes,2630.0,157.0,171,1
27962,Female,73,1,28.0,1,1-2 Year,Yes,45124.0,122.0,267,0
28089,Female,46,1,28.0,0,1-2 Year,Yes,28611.0,124.0,281,1
28114,Male,25,1,45.0,1,< 1 Year,No,24093.0,152.0,181,0
28141,Male,51,1,14.0,0,1-2 Year,Yes,32200.0,124.0,211,1
28374,Male,43,1,7.0,0,1-2 Year,Yes,43165.0,124.0,232,0
28400,Male,23,1,33.0,1,1-2 Year,No,40759.0,124.0,118,0
28699,Male,35,1,15.0,1,1-2 Year,No,2630.0,152.0,292,0
