customer_id,snapshot_date,country,recency_days,tenure_days,orders_total,items_total,distinct_products,active_months,spend_total,order_value_mean,order_value_max,days_between_orders_mean,returned_orders,returned_items,reactivated_90d
12738,2011-09-10,Germany,281,281,1,148,11,1,155.35,155.35,155.35,0.0,0,0,0
12754,2011-09-10,Japan,144,217,3,6481,49,3,3010.74,1003.58,2949.12,36.0,2,2,0
12755,2011-09-10,Japan,189,274,2,1491,4,2,3811.95,1905.98,3794.4,85.0,2,625,0
12764,2011-09-10,Lebanon,225,225,1,386,45,1,1693.88,1693.88,1693.88,0.0,0,0,0
12769,2011-09-10,Brazil,147,147,1,356,32,1,1143.6,1143.6,1143.6,0.0,0,0,0
12770,2011-09-10,Japan,119,119,1,743,12,1,1351.45,1351.45,1351.45,0.0,0,0,0
12775,2011-09-10,Netherlands,98,220,4,740,36,4,1164.68,291.17,419.8,40.33,1,24,1
12778,2011-09-10,Netherlands,92,221,4,458,25,3,492.06,123.02,155.65,43.0,0,0,1
12779,2011-09-10,Poland,98,280,7,1385,68,7,2999.41,428.49,752.21,30.17,3,20,1
12781,2011-09-10,Czech Republic,193,193,1,346,15,1,549.26,549.26,549.26,0.0,1,39,1
12785,2011-09-10,Portugal,273,273,1,131,14,1,311.95,311.95,311.95,0.0,0,0,0
12790,2011-09-10,Netherlands,101,101,1,166,21,1,324.92,324.92,324.92,0.0,0,0,0
12791,2011-09-10,Netherlands,282,282,1,97,2,1,192.6,192.6,192.6,0.0,0,0,0
12792,2011-09-10,Portugal,165,165,1,217,25,1,400.54,400.54,400.54,0.0,0,0,0
12793,2011-09-10,Portugal,243,280,2,295,21,2,545.48,272.74,413.68,36.0,0,0,0
12797,2011-09-10,Portugal,274,274,1,118,13,1,254.03,254.03,254.03,0.0,2,39,0
12802,2011-09-10,Netherlands,95,95,1,314,25,1,427.58,427.58,427.58,0.0,1,12,0
12808,2011-09-10,Portugal,93,277,2,108,16,2,281.35,140.68,151.95,184.0,0,0,1
12811,2011-09-10,Portugal,169,193,3,230,27,2,514.85,171.62,247.6,11.5,0,0,0
12817,2011-09-10,Austria,190,190,1,53,4,1,166.04,166.04,166.04,0.0,0,0,0
12818,2011-09-10,Austria,170,170,1,929,14,1,1542.08,1542.08,1542.08,0.0,1,6,0
12820,2011-09-10,United Kingdom,235,235,1,146,11,1,170.46,170.46,170.46,0.0,0,0,1
12821,2011-09-10,United Kingdom,123,123,1,70,6,1,92.72,92.72,92.72,0.0,0,0,0
12829,2011-09-10,United Kingdom,245,269,2,376,9,2,293.0,146.5,207.25,23.0,1,1,0
12831,2011-09-10,United Kingdom,171,171,1,135,9,1,215.05,215.05,215.05,0.0,0,0,0
12834,2011-09-10,United Kingdom,191,191,1,110,18,1,312.38,312.38,312.38,0.0,0,0,0
12838,2011-09-10,United Kingdom,282,282,1,228,59,1,390.79,390.79,390.79,0.0,0,0,1
12842,2011-09-10,United Kingdom,217,217,1,157,14,1,310.73,310.73,310.73,0.0,0,0,1
12845,2011-09-10,United Kingdom,176,199,4,204,26,2,354.09,88.52,208.8,7.33,0,0,0
12849,2011-09-10,United Kingdom,177,177,1,514,33,1,704.5,704.5,704.5,0.0,0,0,1
12852,2011-09-10,United Kingdom,203,203,1,149,17,1,311.55,311.55,311.55,0.0,1,4,0
12854,2011-09-10,United Kingdom,150,227,2,422,71,2,810.37,405.18,420.47,77.0,2,5,1
12855,2011-09-10,United Kingdom,281,281,1,30,3,1,38.1,38.1,38.1,0.0,0,0,0
12857,2011-09-10,United Kingdom,119,211,2,343,37,2,1106.4,553.2,801.6,91.0,0,0,0
12866,2011-09-10,Belgium,192,192,1,171,26,1,559.12,559.12,559.12,0.0,0,0,0
12868,2011-09-10,United Kingdom,94,282,6,928,72,5,1607.06,267.84,437.52,37.4,0,0,0
12871,2011-09-10,United Kingdom,116,116,1,80,4,1,132.0,132.0,132.0,0.0,0,0,1
12872,2011-09-10,United Kingdom,235,274,2,319,58,2,599.97,299.98,378.53,38.0,0,0,0
12873,2011-09-10,United Kingdom,191,191,1,128,4,1,374.0,374.0,374.0,0.0,0,0,0
12876,2011-09-10,Belgium,105,105,1,651,34,1,726.43,726.43,726.43,0.0,0,0,1
12878,2011-09-10,United Kingdom,145,175,2,547,38,2,854.99,427.5,539.81,29.0,0,0,0
12881,2011-09-10,United Kingdom,184,184,1,21,7,1,298.0,298.0,298.0,0.0,0,0,0
12886,2011-09-10,United Kingdom,128,128,1,416,47,1,775.0,775.0,775.0,0.0,1,9,1
12888,2011-09-10,United Kingdom,123,164,2,76,4,2,354.12,177.06,272.76,41.0,2,8,0
12891,2011-09-10,United Kingdom,94,201,3,950,2,3,331.0,110.33,204.0,53.5,0,0,0
12897,2011-09-10,United Kingdom,113,210,2,110,3,2,216.5,108.25,128.8,97.0,0,0,0
12902,2011-09-10,United Kingdom,173,173,1,66,10,1,138.68,138.68,138.68,0.0,0,0,0
12909,2011-09-10,United Kingdom,110,162,3,786,55,2,1528.37,509.46,624.92,25.5,2,7,1
12913,2011-09-10,United Kingdom,191,277,3,345,12,3,866.39,288.8,417.62,42.5,0,0,1
12924,2011-09-10,United Kingdom,107,236,3,285,10,3,655.27,218.42,367.28,64.5,1,1,1
12929,2011-09-10,United Kingdom,220,220,1,37,8,1,117.85,117.85,117.85,0.0,1,1,0
12937,2011-09-10,United Kingdom,106,176,2,268,27,2,428.23,214.12,217.43,69.0,0,0,1
12944,2011-09-10,United Kingdom,263,263,1,145,14,1,286.95,286.95,286.95,0.0,0,0,1
12945,2011-09-10,United Kingdom,197,197,1,165,23,1,462.95,462.95,462.95,0.0,0,0,0
12956,2011-09-10,United Kingdom,215,215,1,34,19,1,108.07,108.07,108.07,0.0,0,0,0
12957,2011-09-10,United Kingdom,95,248,4,1248,97,4,1715.29,428.82,586.52,51.0,2,11,1
12963,2011-09-10,United Kingdom,274,274,1,172,16,1,365.8,365.8,365.8,0.0,1,8,1
12967,2011-09-10,United Kingdom,267,280,2,438,19,1,1660.9,830.45,1368.4,13.0,1,1,0
12970,2011-09-10,United Kingdom,231,231,2,8,8,1,23.8,11.9,17.2,0.0,0,0,1
12974,2011-09-10,United Kingdom,106,106,1,24,8,1,144.8,144.8,144.8,0.0,0,0,0
12976,2011-09-10,United Kingdom,120,120,1,561,22,1,738.6,738.6,738.6,0.0,0,0,0
12982,2011-09-10,United Kingdom,151,151,1,288,28,1,390.54,390.54,390.54,0.0,1,10,0
12987,2011-09-10,United Kingdom,106,106,1,108,14,1,304.3,304.3,304.3,0.0,1,2,1
12988,2011-09-10,United Kingdom,201,201,1,136,75,1,535.32,535.32,535.32,0.0,0,0,0
12990,2011-09-10,United Kingdom,94,219,2,130,5,2,263.9,131.95,166.4,124.0,0,0,1
12997,2011-09-10,United Kingdom,145,226,2,300,30,2,608.47,304.24,305.55,80.0,2,13,1
12999,2011-09-10,United Kingdom,105,154,3,342,25,2,455.88,151.96,320.28,24.5,0,0,0
13002,2011-09-10,United Kingdom,227,227,1,73,7,1,120.95,120.95,120.95,0.0,0,0,0
13008,2011-09-10,United Kingdom,232,232,1,175,14,1,229.47,229.47,229.47,0.0,1,60,0
13011,2011-09-10,United Kingdom,281,281,1,13,3,1,50.55,50.55,50.55,0.0,0,0,0
13015,2011-09-10,United Kingdom,106,158,4,705,80,2,1763.04,440.76,783.67,17.33,0,0,1
13030,2011-09-10,United Kingdom,277,277,1,204,50,1,427.74,427.74,427.74,0.0,0,0,1
13033,2011-09-10,United Kingdom,266,266,1,83,11,1,190.55,190.55,190.55,0.0,0,0,0
13034,2011-09-10,United Kingdom,278,278,1,116,11,1,165.86,165.86,165.86,0.0,0,0,1
13035,2011-09-10,United Kingdom,169,169,1,212,12,1,333.0,333.0,333.0,0.0,0,0,1
13038,2011-09-10,United Kingdom,92,199,2,280,22,2,591.76,295.88,395.1,106.0,0,0,1
13043,2011-09-10,United Kingdom,182,182,1,254,13,1,516.42,516.42,516.42,0.0,1,3,0
13044,2011-09-10,United Kingdom,200,200,1,429,33,1,560.47,560.47,560.47,0.0,0,0,0
13046,2011-09-10,United Kingdom,175,175,1,76,14,1,197.72,197.72,197.72,0.0,0,0,1
13049,2011-09-10,United Kingdom,227,227,1,78,7,1,153.78,153.78,153.78,0.0,0,0,1
13052,2011-09-10,United Kingdom,121,121,1,222,18,1,348.15,348.15,348.15,0.0,0,0,0
13055,2011-09-10,United Kingdom,122,122,1,252,22,1,344.86,344.86,344.86,0.0,0,0,1
13059,2011-09-10,United Kingdom,158,158,1,35,8,1,183.4,183.4,183.4,0.0,0,0,0
13060,2011-09-10,United Kingdom,162,162,1,123,15,1,307.53,307.53,307.53,0.0,0,0,0
13062,2011-09-10,United Kingdom,100,100,1,343,11,1,346.98,346.98,346.98,0.0,0,0,0
13065,2011-09-10,United Kingdom,282,282,1,74,14,1,205.86,205.86,205.86,0.0,0,0,0
13068,2011-09-10,United Kingdom,228,228,1,100,1,1,165.0,165.0,165.0,0.0,0,0,1
13070,2011-09-10,United Kingdom,101,101,1,110,9,1,228.8,228.8,228.8,0.0,0,0,0
13072,2011-09-10,United Kingdom,175,175,1,69,7,1,177.15,177.15,177.15,0.0,0,0,0
13077,2011-09-10,United Kingdom,199,275,3,607,61,2,577.44,192.48,313.72,38.0,0,0,1
13092,2011-09-10,United Kingdom,120,268,4,95,15,4,439.75,109.94,185.45,49.0,1,8,1
13093,2011-09-10,United Kingdom,184,282,8,3961,97,4,7832.47,979.06,1827.91,13.86,5,18,0
13101,2011-09-10,United Kingdom,143,143,1,113,8,1,101.19,101.19,101.19,0.0,0,0,0
13108,2011-09-10,United Kingdom,281,281,1,298,10,1,350.06,350.06,350.06,0.0,0,0,0
13115,2011-09-10,United Kingdom,93,93,1,621,55,1,878.55,878.55,878.55,0.0,7,15,1
13118,2011-09-10,United Kingdom,117,197,3,274,40,3,799.7,266.57,423.55,40.0,1,9,1
13120,2011-09-10,United Kingdom,147,147,1,12,1,1,30.6,30.6,30.6,0.0,0,0,0
13121,2011-09-10,United Kingdom,178,178,1,252,50,1,283.73,283.73,283.73,0.0,1,25,0
13124,2011-09-10,United Kingdom,161,268,2,1623,131,2,2574.12,1287.06,1317.8,106.0,0,0,1
13126,2011-09-10,United Kingdom,162,275,5,1062,61,3,1077.42,215.48,323.87,28.25,1,12,1
13131,2011-09-10,United Kingdom,96,96,1,128,14,1,324.9,324.9,324.9,0.0,0,0,1
13132,2011-09-10,United Kingdom,170,170,1,20,3,1,77.3,77.3,77.3,0.0,0,0,0
13133,2011-09-10,United Kingdom,182,213,2,32,7,2,109.8,54.9,57.45,30.0,0,0,0
13134,2011-09-10,United Kingdom,92,149,3,330,42,2,885.74,295.25,500.2,28.0,2,11,1
13135,2011-09-10,United Kingdom,105,105,1,4300,1,1,3096.0,3096.0,3096.0,0.0,0,0,0
13141,2011-09-10,United Kingdom,123,224,4,942,77,3,1401.03,350.26,516.28,33.67,1,1,1
13144,2011-09-10,United Kingdom,241,241,1,21,3,1,110.95,110.95,110.95,0.0,0,0,0
13151,2011-09-10,United Kingdom,204,204,1,363,73,1,1257.87,1257.87,1257.87,0.0,1,2,0
13155,2011-09-10,United Kingdom,235,277,2,262,55,2,569.2,284.6,379.7,41.0,0,0,1
13161,2011-09-10,United Kingdom,222,222,1,29,8,1,112.75,112.75,112.75,0.0,0,0,0
13165,2011-09-10,United Kingdom,260,260,1,496,13,1,354.64,354.64,354.64,0.0,0,0,1
13166,2011-09-10,United Kingdom,192,192,1,216,39,1,417.2,417.2,417.2,0.0,1,2,0
13168,2011-09-10,United Kingdom,108,227,3,557,94,3,972.66,324.22,632.18,59.5,1,2,1
13169,2011-09-10,United Kingdom,161,161,1,96,6,1,505.2,505.2,505.2,0.0,0,0,1
13171,2011-09-10,United Kingdom,208,208,1,53,23,1,140.35,140.35,140.35,0.0,0,0,1
13173,2011-09-10,United Kingdom,276,276,1,114,23,1,165.94,165.94,165.94,0.0,0,0,1
13174,2011-09-10,United Kingdom,225,278,2,970,178,2,2108.27,1054.14,1415.97,52.0,0,0,1
13185,2011-09-10,United Kingdom,176,176,1,12,1,1,71.4,71.4,71.4,0.0,0,0,0
13187,2011-09-10,United Kingdom,246,246,1,95,37,1,236.02,236.02,236.02,0.0,0,0,0
13196,2011-09-10,United Kingdom,171,171,1,320,34,1,512.13,512.13,512.13,0.0,0,0,1
13216,2011-09-10,United Kingdom,176,176,1,297,5,1,333.74,333.74,333.74,0.0,0,0,0
13220,2011-09-10,United Kingdom,94,145,3,132,15,3,726.49,242.16,476.29,25.5,0,0,1
13221,2011-09-10,United Kingdom,149,268,2,244,62,2,847.41,423.71,498.16,119.0,0,0,0
13223,2011-09-10,United Kingdom,109,141,2,88,5,2,163.2,81.6,100.8,31.0,0,0,0
13226,2011-09-10,United Kingdom,182,182,1,80,16,1,108.21,108.21,108.21,0.0,0,0,0
13227,2011-09-10,United Kingdom,110,110,1,99,9,1,257.7,257.7,257.7,0.0,0,0,0
13229,2011-09-10,United Kingdom,134,134,1,63,10,1,160.95,160.95,160.95,0.0,0,0,0
13233,2011-09-10,United Kingdom,245,245,1,404,17,1,304.24,304.24,304.24,0.0,0,0,1
13235,2011-09-10,United Kingdom,121,121,1,441,53,1,1031.07,1031.07,1031.07,0.0,1,1,0
13239,2011-09-10,United Kingdom,170,170,1,327,21,1,329.56,329.56,329.56,0.0,0,0,0
13243,2011-09-10,United Kingdom,112,112,1,233,56,1,600.07,600.07,600.07,0.0,0,0,0
13255,2011-09-10,United Kingdom,282,282,1,110,6,1,225.7,225.7,225.7,0.0,0,0,1
13258,2011-09-10,United Kingdom,114,114,1,82,12,1,224.62,224.62,224.62,0.0,0,0,1
13261,2011-09-10,United Kingdom,177,194,2,210,8,2,944.1,472.05,845.1,17.0,0,0,0
13262,2011-09-10,United Kingdom,172,172,1,125,11,1,200.29,200.29,200.29,0.0,0,0,0
13265,2011-09-10,United Kingdom,92,182,3,1138,44,3,1465.66,488.55,817.44,44.5,0,0,1
13270,2011-09-10,United Kingdom,275,275,1,200,1,1,590.0,590.0,590.0,0.0,0,0,0
13283,2011-09-10,United Kingdom,94,94,1,30,2,1,25.5,25.5,25.5,0.0,0,0,1
13284,2011-09-10,United Kingdom,239,239,1,91,13,1,201.19,201.19,201.19,0.0,1,12,0
13292,2011-09-10,United Kingdom,193,193,1,133,14,1,249.57,249.57,249.57,0.0,0,0,1
13294,2011-09-10,United Kingdom,98,158,2,453,48,2,873.74,436.87,483.65,59.0,0,0,0
13295,2011-09-10,United Kingdom,268,268,1,82,10,1,201.2,201.2,201.2,0.0,1,1,0
13299,2011-09-10,United Kingdom,177,177,1,30,5,1,142.5,142.5,142.5,0.0,0,0,0
13304,2011-09-10,United Kingdom,260,260,1,238,21,1,300.42,300.42,300.42,0.0,0,0,0
13308,2011-09-10,United Kingdom,112,112,1,519,26,1,814.95,814.95,814.95,0.0,1,3,1
13309,2011-09-10,United Kingdom,115,217,2,616,43,2,546.64,273.32,390.71,102.0,0,0,1
13310,2011-09-10,United Kingdom,115,233,2,395,50,2,817.65,408.83,410.18,117.0,2,8,1
13317,2011-09-10,United Kingdom,107,267,5,500,56,3,1313.98,262.8,444.63,40.0,2,31,1
13324,2011-09-10,United Kingdom,112,269,7,2473,17,4,3798.99,542.71,903.87,26.17,1,3,1
13328,2011-09-10,United Kingdom,225,225,1,680,17,1,1308.48,1308.48,1308.48,0.0,0,0,0
13329,2011-09-10,United Kingdom,275,275,1,175,7,1,304.2,304.2,304.2,0.0,2,36,1
13334,2011-09-10,United Kingdom,99,214,2,1350,176,2,2731.84,1365.92,1660.44,114.0,0,0,1
13339,2011-09-10,United Kingdom,109,109,1,326,54,1,860.12,860.12,860.12,0.0,0,0,0
13341,2011-09-10,United Kingdom,169,169,1,301,42,1,775.85,775.85,775.85,0.0,0,0,0
13344,2011-09-10,United Kingdom,186,186,1,599,68,1,1656.15,1656.15,1656.15,0.0,0,0,1
13345,2011-09-10,United Kingdom,196,196,1,141,20,1,389.5,389.5,389.5,0.0,1,2,0
13357,2011-09-10,United Kingdom,166,166,1,322,85,1,609.95,609.95,609.95,0.0,0,0,0
13358,2011-09-10,United Kingdom,177,177,1,285,29,1,439.03,439.03,439.03,0.0,0,0,0
13362,2011-09-10,United Kingdom,154,196,2,727,92,2,1581.53,790.77,812.7,41.0,0,0,1
13365,2011-09-10,United Kingdom,126,126,1,404,39,1,700.6,700.6,700.6,0.0,0,0,1
13368,2011-09-10,United Kingdom,165,246,2,327,29,2,623.4,311.7,588.0,80.0,0,0,0
13369,2011-09-10,United Kingdom,274,274,1,149,14,1,308.28,308.28,308.28,0.0,1,22,0
13370,2011-09-10,United Kingdom,280,280,1,343,39,1,754.87,754.87,754.87,0.0,1,7,0
13382,2011-09-10,United Kingdom,189,189,1,131,15,1,222.99,222.99,222.99,0.0,0,0,0
13385,2011-09-10,United Kingdom,238,238,1,281,35,1,534.57,534.57,534.57,0.0,0,0,0
13389,2011-09-10,United Kingdom,141,141,1,115,18,1,257.89,257.89,257.89,0.0,0,0,1
13391,2011-09-10,United Kingdom,112,112,1,4,1,1,59.8,59.8,59.8,0.0,0,0,0
13395,2011-09-10,United Kingdom,94,94,1,336,21,1,307.72,307.72,307.72,0.0,0,0,0
13396,2011-09-10,United Kingdom,228,228,1,139,15,1,387.27,387.27,387.27,0.0,1,3,1
13398,2011-09-10,United Kingdom,101,101,1,281,26,1,457.34,457.34,457.34,0.0,0,0,0
13404,2011-09-10,United Kingdom,121,121,1,99,9,1,217.81,217.81,217.81,0.0,0,0,1
13405,2011-09-10,United Kingdom,113,226,2,163,24,2,557.45,278.73,397.4,113.0,0,0,1
13410,2011-09-10,United Kingdom,96,200,3,300,11,3,545.04,181.68,250.24,52.0,1,3,1
13417,2011-09-10,United Kingdom,114,114,1,72,10,1,236.0,236.0,236.0,0.0,0,0,1
13421,2011-09-10,United Kingdom,199,199,1,495,64,1,825.04,825.04,825.04,0.0,1,1,1
13426,2011-09-10,United Kingdom,91,268,5,1199,62,5,1558.68,311.74,339.2,44.0,0,0,1
13439,2011-09-10,United Kingdom,164,164,1,242,54,1,283.71,283.71,283.71,0.0,0,0,0
13448,2011-09-10,United Kingdom,127,282,4,720,65,2,1423.26,355.82,593.72,51.67,3,17,1
13452,2011-09-10,United Kingdom,168,179,2,2,1,1,590.0,295.0,295.0,11.0,0,0,0
