customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
customerID-000026,Male,0,No,No,22,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),110.88,440.12,No
customerID-000029,Male,1,No,No,5,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,24.5,1981.88,No
customerID-000047,Male,0,Yes,No,38,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),66.22,353.27,No
customerID-000049,Male,1,Yes,No,27,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),82.43,825.55,Yes
customerID-000054,Male,0,Yes,No,7,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,,1495.21,No
customerID-000055,Male,0,Yes,No,19,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,46.65,654.99,No
customerID-000056,Female,1,No,No,7,No,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,50.5,1000.77,No
customerID-000059,Male,1,Yes,No,10,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,19.5,343.89,No
customerID-000062,Female,0,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,112.53,3749.15,No
customerID-000064,Male,0,Yes,No,,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,90.85,1568.37,No
customerID-000065,Female,0,No,No,13,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),37.98,374.75,No
customerID-000072,Female,1,No,No,5,Yes,No phone service,DSL,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),,1981.29,No
customerID-000077,Male,0,No,No,25,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,88.52,241.28,No
customerID-000078,Female,1,No,No,23,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,64.66,419.54,No
customerID-000079,Female,1,Yes,No,6,No,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),60.03,326.66,No
customerID-000080,Male,0,Yes,No,2,Yes,No phone service,DSL,Yes,No,No,No,Yes,No,One year,No,Mailed check,53.78,931.51,No
customerID-000083,Male,1,Yes,No,8,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),38.59,581.38,No
customerID-000084,Male,0,No,No,3,Yes,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,32.96,388.54,Yes
customerID-000086,Female,1,No,No,21,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),,3190.93,No
customerID-000088,Female,2,Yes,No,9,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,112.69,334.61,No
customerID-000089,Male,0,No,No,3,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,,1403.0,No
customerID-000090,Female,0,Yes,No,3,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,39.0,426.17,No
customerID-000096,Female,1,No,No,3,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,25.59,709.29,No
customerID-000098,Female,0,No,No,33,Yes,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.37,467.12,Yes
customerID-000102,Female,0,Yes,No,6,No,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,16.31,1419.56,Yes
customerID-000105,Male,0,No,No,26,No,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),64.42,1037.7,No
customerID-000106,Male,0,No,No,42,No,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,65.51,461.53,Yes
customerID-000108,Female,1,No,No,7,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,37.56,2195.75,No
customerID-000111,Female,0,No,No,6,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),47.61,1629.73,No
customerID-000112,Female,1,No,No,7,No,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),53.67,1098.37,No
customerID-000115,Male,0,No,No,40,Yes,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,125.79,1260.55,No
customerID-000117,Female,1,No,No,14,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),30.72,2592.88,No
customerID-000119,Female,0,No,No,4,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),34.97,622.2,No
customerID-000124,Female,3,No,No,35,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,91.34,749.4,No
customerID-000128,Male,0,No,No,18,Yes,No phone service,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),99.92,793.62,No
customerID-000130,Male,0,Yes,No,28,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),21.46,1236.79,No
customerID-000132,Male,1,No,No,5,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,91.59,1821.97,No
customerID-000136,Male,0,No,No,89,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,42.38,779.36,No
customerID-000141,Female,0,No,No,20,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Mailed check,32.27,978.39,No
customerID-000143,Male,0,No,No,10,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.96,1236.62,No
customerID-000144,Male,1,No,No,4,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),36.54,3749.15,No
customerID-000146,Female,0,No,No,45,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),61.91,437.1,No
customerID-000147,Male,0,Yes,No,2,Yes,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,36.32,415.4,No
customerID-000149,Male,0,No,No,13,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),52.58,1339.66,No
customerID-000150,Female,0,Yes,No,40,No,No,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),104.44,603.21,Yes
customerID-000153,Male,1,No,No,31,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),37.62,582.53,No
customerID-000157,Male,0,No,No,16,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,47.65,860.54,No
customerID-000160,Male,1,No,No,8,No,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),73.77,744.23,No
customerID-000162,Female,0,No,No,11,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),23.21,461.52,No
customerID-000163,Male,2,No,No,16,No,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),22.87,209.1,No
customerID-000165,Male,0,No,No,56,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,61.2,2256.39,No
customerID-000171,Male,0,No,No,7,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.57,797.19,No
customerID-000179,Male,1,No,No,37,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),31.03,1121.94,No
customerID-000182,Female,0,No,No,7,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,55.92,841.59,No
customerID-000188,Male,0,No,No,7,Yes,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),26.07,391.33,No
customerID-000191,Female,0,Yes,No,89,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),32.31,1176.02,No
customerID-000193,Female,0,Yes,No,13,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),24.38,3733.82,No
customerID-000195,Male,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),23.32,1129.9,Yes
customerID-000196,Male,1,No,No,23,Yes,No phone service,DSL,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,67.27,1935.88,No
customerID-000199,Male,1,No,No,24,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,62.82,1406.12,No
customerID-000203,Female,0,No,No,30,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,,159.61,No
customerID-000208,Male,0,No,No,28,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,66.09,981.18,No
customerID-000209,Male,1,No,No,10,No,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,16.39,1299.34,No
customerID-000211,Female,0,Yes,No,4,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),41.73,225.4,No
customerID-000213,Female,0,Yes,No,56,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,40.41,1160.81,No
customerID-000217,Male,0,No,No,19,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,,683.94,No
customerID-000218,Male,0,No,No,39,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),48.07,438.65,No
customerID-000229,Male,0,Yes,No,40,Yes,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),48.54,707.55,Yes
customerID-000230,Female,0,No,No,47,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,24.28,272.8,No
customerID-000231,Female,1,No,No,14,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,134.18,1212.16,No
customerID-000234,Male,1,No,No,15,No,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.6,1766.06,No
customerID-000236,Female,0,No,No,4,No,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,20.55,502.45,No
customerID-000239,Male,0,No,No,34,No,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),38.45,166.82,Yes
customerID-000244,Male,0,No,No,6,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,23.08,208.23,No
customerID-000251,Male,0,Yes,No,3,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.62,540.03,No
customerID-000253,Male,0,No,No,62,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),10.48,525.44,Yes
customerID-000256,Male,0,Yes,No,0,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.76,850.74,No
customerID-000257,Female,0,No,No,,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),50.25,536.28,No
customerID-000270,Male,0,No,No,36,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,52.25,295.48,No
customerID-000271,Male,0,No,No,44,No,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,,886.47,No
customerID-000276,Female,0,No,No,6,Yes,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),38.47,342.2,No
customerID-000278,Male,1,No,No,37,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,166.06,799.53,No
customerID-000286,Male,0,No,No,3,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,32.46,552.76,No
customerID-000291,Male,3,Yes,No,21,No,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,,606.48,Yes
customerID-000292,Male,0,Yes,No,45,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,16.49,257.16,No
customerID-000295,Female,0,No,No,11,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,37.93,193.49,No
customerID-000296,Male,0,No,No,15,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,14.23,706.7,No
customerID-000300,Female,0,Yes,No,6,Yes,No phone service,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),73.07,284.61,No
customerID-000303,Male,1,No,No,18,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,15.43,1844.87,Yes
customerID-000305,Female,1,No,No,8,Yes,No phone service,DSL,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,62.06,139.38,No
customerID-000310,Male,0,No,No,59,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,133.64,1862.35,No
customerID-000315,Female,0,No,No,27,No,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),26.6,1947.49,No
customerID-000317,Male,2,No,No,13,Yes,No phone service,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),27.17,273.55,No
customerID-000321,Male,1,No,No,7,No,No phone service,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,107.64,379.57,No
customerID-000323,Female,0,No,No,1,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),42.86,789.53,No
customerID-000325,Male,0,No,No,1,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,,402.99,No
customerID-000326,Male,0,No,No,28,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,96.33,2121.17,Yes
customerID-000327,Female,0,No,No,12,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),49.88,1704.97,No
customerID-000329,Male,0,Yes,No,13,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),30.52,803.18,Yes
customerID-000338,Male,0,No,No,15,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check,18.51,124.4,Yes
customerID-000340,Male,0,No,No,4,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,117.27,791.32,No
customerID-000342,Female,0,No,No,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),110.77,208.7,No
customerID-000344,Female,1,No,No,29,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,27.2,629.38,No
customerID-000349,Male,0,No,No,33,No,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,51.76,417.86,No
customerID-000352,Male,1,No,No,70,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,77.9,1267.96,Yes
customerID-000354,Male,3,Yes,No,,Yes,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),26.57,1406.52,No
customerID-000356,Male,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),27.0,2626.56,No
customerID-000360,Male,1,No,No,6,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,28.55,363.88,No
customerID-000363,Female,2,No,No,8,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),32.81,1915.09,No
customerID-000366,Male,0,No,No,13,No,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,78.18,472.8,No
customerID-000372,Male,0,No,No,10,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),28.89,940.09,No
customerID-000374,Female,1,No,No,12,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,46.16,1863.54,No
customerID-000376,Male,1,No,No,14,No,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,51.37,2714.32,Yes
customerID-000377,Male,0,No,No,5,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,28.68,3749.15,No
customerID-000378,Female,0,No,No,2,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),96.58,331.74,No
customerID-000383,Male,0,No,No,40,Yes,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,16.4,123.42,No
customerID-000388,Female,0,Yes,No,16,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,63.94,208.65,No
customerID-000389,Male,2,No,No,4,No,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),17.54,791.57,No
customerID-000395,Male,0,No,No,8,Yes,No phone service,DSL,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),14.28,612.94,No
customerID-000397,Male,0,No,No,26,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,124.92,1345.2,No
customerID-000399,Male,1,No,No,28,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Electronic check,46.61,505.41,No
customerID-000400,Female,1,No,No,11,No,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,,84.06,No
customerID-000409,Female,1,No,No,7,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),22.06,655.63,No
customerID-000412,Female,1,Yes,No,43,Yes,No phone service,DSL,Yes,No,No,No,No,Yes,One year,No,Mailed check,31.76,776.36,No
customerID-000413,Female,0,No,No,36,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,88.87,1047.59,No
customerID-000414,Male,1,No,No,25,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,23.33,1076.19,No
customerID-000415,Female,1,Yes,No,22,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,34.34,2334.54,No
customerID-000416,Male,1,No,No,39,Yes,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,66.4,358.67,No
customerID-000419,Male,0,Yes,No,17,No,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,49.38,1681.08,No
customerID-000421,Male,0,Yes,No,11,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Mailed check,27.41,444.13,No
customerID-000425,Male,0,No,No,6,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,104.52,122.19,No
customerID-000426,Male,0,No,No,46,No,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),25.01,889.75,No
customerID-000428,Female,0,No,No,11,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,20.24,2805.07,No
customerID-000430,Male,2,No,No,15,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),,3428.97,No
customerID-000431,Male,1,No,No,12,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,33.26,680.44,No
customerID-000436,Female,1,No,No,3,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Mailed check,12.35,415.47,No
customerID-000440,Male,2,No,No,52,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,27.83,205.67,No
customerID-000443,Male,1,No,No,6,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),57.04,837.19,No
customerID-000445,Male,0,No,No,11,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),21.44,3749.15,No
customerID-000446,Female,0,No,No,21,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),55.45,359.84,No
customerID-000449,Male,0,No,No,9,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),71.17,412.03,No
customerID-000450,Female,0,No,No,50,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),65.06,137.77,No
customerID-000452,Female,1,No,No,13,No,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,72.58,960.9,No
customerID-000455,Female,0,No,No,5,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,52.14,628.36,No
customerID-000456,Male,1,Yes,No,23,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,65.22,822.62,No
customerID-000457,Male,0,Yes,No,,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,30.54,596.94,No
customerID-000458,Male,0,No,No,2,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,33.76,1707.69,No
customerID-000461,Male,0,Yes,No,12,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),43.79,846.2,No
customerID-000463,Male,0,No,No,11,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,9.68,771.58,No
customerID-000465,Male,1,Yes,No,13,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,42.72,500.78,Yes
customerID-000466,Female,1,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,,1364.33,No
customerID-000467,Female,0,No,No,10,No,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,31.93,389.76,No
customerID-000468,Male,1,No,No,6,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.81,2556.72,No
customerID-000471,Female,0,Yes,No,23,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,151.2,1244.31,No
customerID-000472,Female,2,No,No,7,No,No,DSL,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),28.34,293.66,No
customerID-000474,Male,0,No,No,22,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),21.89,2899.19,No
customerID-000477,Male,0,No,No,6,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),77.97,731.16,No
customerID-000481,Female,0,No,No,7,Yes,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),34.78,224.79,No
customerID-000486,Male,0,No,No,5,No,No phone service,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),47.74,789.65,No
customerID-000497,Female,1,No,No,17,No,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,34.25,297.37,No
customerID-000498,Female,0,No,No,18,No,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,35.43,326.15,No
customerID-000503,Female,0,Yes,No,13,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,23.31,718.99,No
customerID-000506,Male,0,No,No,,Yes,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,26.31,292.42,No
customerID-000508,Male,0,No,No,52,Yes,No phone service,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,108.81,710.32,No
customerID-000509,Male,1,Yes,No,5,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,22.64,613.81,No
customerID-000514,Male,0,No,No,4,Yes,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,72.11,382.68,No
customerID-000516,Female,0,No,No,2,No,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,52.98,382.31,No
customerID-000520,Male,1,No,No,2,No,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),28.2,624.24,No
customerID-000521,Male,0,No,No,34,No,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),37.73,420.63,Yes
customerID-000522,Female,0,No,No,10,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),32.35,673.65,No
customerID-000524,Female,0,No,No,33,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.15,886.7,No
customerID-000526,Female,1,No,No,1,No,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),38.52,1905.9,No
customerID-000531,Female,0,No,No,9,No,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,141.61,503.67,No
customerID-000532,Female,1,No,No,21,No,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,135.94,335.84,No
customerID-000533,Male,3,Yes,No,10,No,No,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),44.3,545.23,No
